Abaza	NorthwestCaucasian
Afrikaans	Indo-European-Germanic
Akkadian	Semitic
Akuntsu	Tupian
Albanian	Indo-European
Albanian	Indo-European
Amharic	Afroasiatic
AncientGreek	Indo-European
AncientGreek	Indo-European
AncientHebrew	Semitic
Apurinã	Arawakan
Apurinã	Arawakan
Arabic	Semitic
Arabizi	Semitic
Armenian	Indo-European
Armenian	Indo-European
Assyrian	Semitic
Bambara	Niger-Congo
Basque	isolate
Basque	isolate
Beja	Afroasiatic
Belarusian	Indo-European-Baltoslavic
Bengali	Indo-European
Bhojpuri	Indo-European
Borôro	Macro-Jê
Breton	Indo-European
Bulgarian	Indo-European-Baltoslavic
Buryat	Agglutinating
Cantonese	Sino-Austronesian
Catalan	Indo-European-Romance
Cebuano	Austronesian
Central Siberian Yupik	Eskimo
Chinese	Sino-Austronesian
Chukot	Agglutinating
ClassicalChinese	Sino-Austronesian
Coptic	Afroasiatic
Croatian	Indo-European-Baltoslavic
Czech	Indo-European-Baltoslavic
Danish	Indo-European-Germanic
Dutch	Indo-European-Germanic
Emerillon	Tupian
English	Indo-European-Germanic
Erzya	Agglutinating
Estonian	Agglutinating
Faroese	Indo-European-Germanic
Finnish	Agglutinating
French	Indo-European-Romance
Frisian	Indo-European-Germanic
FrisianDutch	Indo-European
Gaelic	Indo-European
Galician	Indo-European-Romance
German	Indo-European-Germanic
Gheg	Indo-European
Gothic	Indo-European-Germanic
Gothic	Indo-European-Germanic
Greek	Indo-European
Guajajára	Tupian
Guarani	Tupian
Hebrew	Semitic
Hindi	Indo-European
HindiEnglish	Indo-European
Hittite	Indo-European
Hungarian	Agglutinating
Iban	Austronesian
Icelandic	Indo-European-Germanic
Icelandic	Indo-European-Germanic
Indonesian	Sino-Austronesian
Irish	Indo-European
Italian	Indo-European-Romance
Jamamadí	Arawan
Japanese	Agglutinating
Javanese	Sino-Austronesian
K'iche'	Mayan
K'iche'	Mayan
Kangri	Indo-European
Karelian	Agglutinating
Karo	Tupian
Karo (Brazil)	Tupian
Kazakh	Agglutinating
Kazakh	Agglutinating
Khunsari	Indo-European
Komi	Agglutinating
Komi	Agglutinating
Komi-Permyak	Agglutinating
Komi-Permyak	Agglutinating
Korean	Agglutinating
Kurmanji	Indo-European
Kyrgyz	Agglutinating
Latin	Indo-European-Romance
Latvian	Indo-European-Baltoslavic
Ligurian	Indo-European
Lithuanian	Indo-European-Baltoslavic
Livvi	Agglutinating
Low German	Indo-European-Germanic
LowGerman	Indo-European-Germanic
Makuráp	Tupian
Malayalam	Dravidian
Maltese	Semitic
Manx	Indo-European
Marathi	Indo-European
MbyáGuaraní	Tupian
Moksha	Agglutinating
Mundurukú	Tupian
Nahuatl	Nahuan
Naija	Indo-European-Germanic
Nayini	Indo-European
Neapolitan	Indo-European-Romance
Nhengatu	Tupian
NorthSami	Agglutinating
Norwegian	Indo-European-Germanic
OldChurchSlavonic	Indo-European-Baltoslavic
OldEastSlavic	Indo-European-Baltoslavic
OldFrench	Indo-European-Romance
Old Irish (to 900)	Indo-European
OldTurkish	Agglutinating
Persian	Indo-European
Polish	Indo-European-Baltoslavic
Pomak	Indo-European-Baltoslavic
Portuguese	Indo-European-Romance
Romanian	Indo-European-Romance
Russian	Indo-European-Baltoslavic
Sanskrit	Indo-European
Serbian	Indo-European-Baltoslavic
Sinhalese	Indo-European
SkoltSami	Agglutinating
Slovak	Indo-European-Baltoslavic
Slovenian	Indo-European-Baltoslavic
Soi	Indo-European
SouthLevantineArabic	Semitic
Spanish	Indo-European-Romance
Swedish	Indo-European-Germanic
SwedishSign	Indo-European-Germanic
SwissGerman	Indo-European-Germanic
Tagalog	Sino-Austronesian
Tamil	Dravidian
Tamil	Dravidian
Tatar	Agglutinating
Telugu	Dravidian
Telugu	Dravidian
Thai	Sino-Austronesian
Tupinambá	Tupian
Turkish	Agglutinating
TurkishGerman	Agglutinating
Ukrainian	Indo-European-Baltoslavic
Umbrian	Indo-European
UpperSorbian	Indo-European-Baltoslavic
Urdu	Indo-European
Urubú-Kaapor	Tupian
UrubúKaapor	Tupian
Uyghur	Agglutinating
Vietnamese	Sino-Austronesian
Warlpiri	Pama–Nyungan
Warlpiri	Pama–Nyungan
Welsh	Indo-European
Western Armenian	Indo-European
WesternArmenian	Indo-European
Wolof	Niger-Congo
Xavánte	Macro-Jê
Xibe	Tungusic
Yakut	Agglutinating
Yoruba	Niger-Congo
Yupik	Eskimo–Aleut
Zaar	Afroasiatic
