code	name
ca	Catalan
cu	OldChurchSlavonic
nl	Dutch
el	Greek
ht	Haitian
ro	Romanian
es	Spanish
gd	Gaelic
ug	Uyghur
aii	Assyrian
bxr	Buryat
frm	MiddleFrench
fro	OldFrench
sga	OldIrish
grc	AncientGreek
gsw	SwissGerman
gun	MbyáGuaraní
hsb	UpperSorbian
kmr	Kurmanji
kpv	Komi
lzh	ClassChinese
orv	OldEastSlavic
pcm	Naija
qhe	HindiEnglish
qtd	TurkishGerman
sms	SkoltSami
sme	NorthSami
swl	SwedishSign
yue	Cantonese
otk	OldTurkish
ajp	SouthLevantineArabic
qfn	FrisianDutch
hyw	WestArmenian
xcl	ClassArmenian
nds	LowGerman
ess	Yupik
urb	Kaapor
qpm	Pomak
hbo	AncientHebrew
bej	Beja
say	Zaar
nhi	Nahuatl
ncj	HiPuebNahuatl
aln	Gheg
arr	Karo
si	Sinhalese
qaf	Arabizi
ab	Abkhaz
qte	TeluguEnglish
cpg	CappadocianGreek
azz	HighlandNahuatl
lb	Luxembourgish
ota	OttomanTurkish
egy	Egyptian
gya	Gbaya
ps	Pashto
ssp	SpanishSign
quc	Kiche
nds	LowSaxon
jaa	Madi
qaf	Maghrebi
pay	Pesh
eme	Teko
nhi	WestNahuatl
nmf	Tangkhul
oc	Occitan
ang	OldEnglish
qti	TurkishEnglish
ckb	CentralKurdish
pro	OldProvençal
wuu	Wu
sdh	SouthernKurdish
