language	group	genus	subgenus	simple_group	area	typology	lcode	historical
Abaza	Caucasian			Caucasian	E		abq	
Abkhaz	Caucasian			Caucasian	E		ab	
Afrikaans	Indo-European	Germanic		Indo-European	Af		af	
Akkadian	Semitic			Afroasiatic	ME		akk	yes
Akuntsu	Tupian			South-American	SA		aqz	
Albanian	Indo-European	Albanian	Albanian	Indo-European	E		sq	
Alemannic	Indo-European	Germanic		Indo-European	E		gsw	
Amharic	Afroasiatic			Afroasiatic	Af		am	
AncientGreek	Indo-European	Hellenic		Indo-European	E		grc	yes
AncientHebrew	Semitic			Afroasiatic	ME		hbo	yes
Apurinã	Arawakan			South-American	SA		apu	
Arabic	Semitic			Afroasiatic	ME		ar	
Armenian	Indo-European	Armenian	Armenian	Indo-European	E		hy	
Assamese	Indo-European	Indo-Aryan		Indo-European	I		as	
Assyrian	Semitic			Afroasiatic	ME		aii	yes
Azerbaijani	Turkic			Turkic	ME	Agglutinating	az	
Bambara	Niger-Congo			Niger-Congo	Af		bm	
Basque	isolate			Other	E	Agglutinating	eu	
Bavarian	Indo-European	Germanic		Indo-European	E		bar	
Beja	Afroasiatic			Afroasiatic	Af		bej	
Belarusian	Indo-European	Baltoslavic		Indo-European	E		be	
Bengali	Indo-European	Indo-Aryan		Indo-European	I		bn	
Bhojpuri	Indo-European	Indo-Aryan		Indo-European	I		bho	
Bokota	Chibchan			South-American			sab	
Borôro	Macro-Jê			South-American	SA		bor	
Brahui	Dravidian			Dravidian	I	Agglutinating	brh	
Breton	Indo-European	Celtic		Indo-European	E		br	
Bulgarian	Indo-European	Baltoslavic		Indo-European	E		bg	
Buryat	Mongolic			Other	As	Agglutinating	bxr	
Cantonese	Sino-Austronesian			Sino-Austronesian	As		yue	
Cappadocian	Indo-European	Hellenic		Indo-European	ME		cpg	yes
Catalan	Indo-European	Italic		Indo-European	E		ca	
Cebuano	Sino-Austronesian			Sino-Austronesian	O	Agglutinating	ceb	
CentralKurdish	Indo-European	Iranian	Iranian	Indo-European			ckb	
Chinese	Sino-Austronesian			Sino-Austronesian	As		zh	
Chintang	Sino-Austronesian			Sino-Austronesian	As		ctn	
Chukchi	Chukotko-Kamchatkan			Other	E	Agglutinating	ckt	
Classical_Armenian	Indo-European	Armenian	Armenian	Indo-European	ME		xcl	yes
Classical_Chinese	Sino-Austronesian			Sino-Austronesian	As		lzh	yes
Coptic	Afroasiatic			Afroasiatic	ME		cop	yes
Croatian	Indo-European	Baltoslavic		Indo-European	E		hr	
Czech	Indo-European	Baltoslavic		Indo-European	E		cs	
Danish	Indo-European	Germanic		Indo-European	E		da	
Dutch	Indo-European	Germanic		Indo-European	E		nl	
Egyptian	Afroasiatic			Afroasiatic	Af		egy	yes
English	Indo-European	Germanic		Indo-European	E		en	
Erzya	Uralic			Uralic	E	Agglutinating	myv	
Esperanto	Indo-European			Indo-European			eo	
Estonian	Uralic			Uralic	E	Agglutinating	et	
Faroese	Indo-European	Germanic		Indo-European	E		fo	
Finnish	Uralic			Uralic	E	Agglutinating	fi	
French	Indo-European	Italic		Indo-European	E		fr	
FrisianDutch	Indo-European	Germanic		Indo-European	E		qfn	
Galician	Indo-European	Italic		Indo-European	E		gl	
Georgian	Caucasian			Caucasian	E	Agglutinating	ka	
German	Indo-European	Germanic		Indo-European	E		de	
Gheg	Indo-European	Albanian	Albanian	Indo-European	E		aln	
Gorontalo	Sino-Austronesian			Sino-Austronesian	O	Agglutinating	gor	
Gothic	Indo-European	Germanic		Indo-European	E		got	yes
Greek	Indo-European	Hellenic		Indo-European	E		el	
Guajajára	Tupian			South-American	SA		gub	
Guarani	Tupian			South-American	SA		gn	
Gujarati	Indo-European	Indo-Aryan		Indo-European	I		gu	
Gwichʼin	Na-Dene			Other			gwi	
Haitian_Creole	Creole			Creole	E		ht	
Hausa	Afroasiatic			Afroasiatic	Af		ha	
Hebrew	Semitic			Afroasiatic	ME		he	
Highland_Puebla_Nahuatl	Aztecan			South-American	SA	Agglutinating	azz	
Hindi	Indo-European	Indo-Aryan		Indo-European	I		hi	
Hittite	Indo-European	Other	Anatolian	Indo-European	ME		hit	yes
Hungarian	Uralic			Uralic	E	Agglutinating	hu	
Icelandic	Indo-European	Germanic		Indo-European	E		is	
Ika	Chibchan			South-American			arh	
Indonesian	Sino-Austronesian			Sino-Austronesian	O	Agglutinating	id	
Irish	Indo-European	Celtic		Indo-European	E		ga	
Italian	Indo-European	Italic		Indo-European	E		it	
Japanese	KJ	Japonic		Other	As	Agglutinating	ja	
Javanese	Sino-Austronesian			Sino-Austronesian	As	Agglutinating	jv	
Kaapor	Tupian			South-American	SA		urb	
Kadiweu	Guaicuruan			South-American	SA		kbc	
Kangri	Indo-European	Indo-Aryan		Indo-European	I		xnr	
Karelian	Uralic			Uralic	E	Agglutinating	krl	
Karo	Tupian			South-American	SA		arr	
Kazakh	Turkic			Turkic	E	Agglutinating	kk	
Khoekhoe	Khoe–Kwadi			Other			naq	
Khunsari	Indo-European	Indo-Aryan		Indo-European	ME			
Kiche	Mayan			South-American	SA		quc	
Komi-Permyak	Uralic			Uralic	E	Agglutinating	koi	
Komi_Zyrian	Uralic			Uralic	E	Agglutinating	kpv	
Korean	KJ	Koreanic		Other	As	Agglutinating	ko	
Kyrgyz	Turkic			Turkic	E	Agglutinating	ky	
Latgalian	Indo-European	Baltoslavic		Indo-European	E		ltg	
Latin	Indo-European	Italic		Indo-European	E		la	yes
Latvian	Indo-European	Baltoslavic		Indo-European	E		lv	
Ligurian	Indo-European	Italic		Indo-European	E		lij	
Lithuanian	Indo-European	Baltoslavic		Indo-European	E		lt	
Livvi	Uralic			Uralic	E	Agglutinating	olo	
LowSaxon	Indo-European	Germanic		Indo-European	E		nds	
Luxembourgish	Indo-European	Germanic		Indo-European	E		lb	
Macedonian	Indo-European	Baltoslavic		Indo-European	E		mk	
Madi	Arawan			South-American	SA		jaa	
Maghrebi_Arabic_French	Code-switching			Code-switching	ME		qaf	
Makuráp	Tupian			South-American	SA		mpu	
Malayalam	Dravidian			Dravidian	I	Agglutinating	ml	
Maltese	Semitic			Afroasiatic	ME		mt	
Manx	Indo-European	Celtic		Indo-European	E		gv	
Marathi	Indo-European	Indo-Aryan		Indo-European	I		mr	
MbyáGuaraní	Tupian			South-American	SA		gun	
MiddleArmenian	Indo-European	Armenian	Armenian	Indo-European	E		axm	yes
MiddleFrench	Indo-European	Italic		Indo-European	E		frm	yes
Moksha	Uralic			Uralic	E	Agglutinating	mdf	
Mundurukú	Tupian			South-American	SA		myu	
Naga	Sino-Austronesian			Sino-Austronesian			nmf	
Naija	Creole			Creole	Af		pcm	
Nayini	Indo-European	Iranian	Iranian	Indo-European	ME			
Neapolitan	Indo-European	Italic		Indo-European	E		nap	
Nenets	Uralic			Uralic		Agglutinating	yrk	
Nepali	Indo-European	Indo-Aryan		Indo-European	I		ne	
Nheengatu	Tupian			South-American	SA		yrl	
Northern_Kurdish	Indo-European	Iranian	Iranian	Indo-European	ME		kmr	
NorthSami	Uralic			Uralic	E	Agglutinating	sme	
Northwest_Gbaya	Niger-Congo			Niger-Congo			gya	
Norwegian	Indo-European	Germanic		Indo-European	E		no	
Occitan	Indo-European	Romance		Indo-European			oc	
Odia	Indo-European	Indo-Aryan		Indo-European			or	
Old_Occitan	Indo-European	Italic		Indo-European	E		pro	yes
OldChurchSlavonic	Indo-European	Baltoslavic		Indo-European	E		cu	yes
OldEastSlavic	Indo-European	Baltoslavic		Indo-European	E		orv	yes
OldEnglish	Indo-European	Germanic		Indo-European			ang	yes
OldFrench	Indo-European	Italic		Indo-European	E		fro	yes
