language	beta_mal	r2_mal	compliance_mal	type_mal	points_mal	beta_lmal	r2_lmal	compliance_lmal	type_lmal	points_lmal	beta_rmal	r2_rmal	compliance_rmal	type_rmal	points_rmal	n_constructions
Abaza			1.0000		2			0.0000		2					0	204
Abkhaz	-0.0898	0.9548	0.0000	grey	4	0.0244	0.2380	0.3333	grey	4			1.0000		2	3225
Afrikaans	0.1697	0.9140	1.0000	MAL	7	0.0870	0.5050	0.4000	grey	6	0.5932	0.9987	1.0000	MAL	4	4287
Akkadian	0.0594	0.2656	0.6667	grey	7	0.1014	0.6088	0.8000	MAL	6					1	3037
Akuntsu			1.0000		2			1.0000		2					0	256
Albanian	0.2603	0.7800	0.5000	MAL	5			1.0000		2			1.0000		2	493
Alemannic	-0.0400	0.2449	0.2000	grey	6	0.1436	0.8011	0.7500	MAL	5	1.0331	0.9937	1.0000	MAL	3	1805
Amharic	-0.1239	0.3793	0.7500	anti-MAL	5	0.2301	0.8765	0.6667	MAL	4			1.0000		2	1524
Ancient_Greek	0.0558	0.6968	0.6667	grey	10	-0.0944	0.6938	0.1250	grey	9	0.0747	0.7017	0.4000	grey	6	73592
Ancient_Hebrew	-0.0453	0.0937	0.6000	grey	6	-0.1604	0.9628	0.0000	anti-MAL	3	0.0371	0.2783	0.5000	grey	5	15320
Apurina			1.0000		2					1					1	207
Arabic	0.0761	0.1206	0.5000	grey	9	-0.1613	0.3648	0.3333	anti-MAL	4	0.0175	0.0095	0.3750	grey	9	77117
Armenian	0.0714	0.8408	0.8000	grey	6	0.0075	0.0082	0.5000	grey	5	0.3624	0.8525	1.0000	MAL	3	15313
Assamese					1					0					0	158
Assyrian					0					0					0	53
Azerbaijani					1					1					0	162
Bambara	-0.2914	0.9562	0.0000	anti-MAL	4	-0.5130	0.7955	0.0000	anti-MAL	3			0.0000		2	2439
Basque	0.0869	0.8366	0.8333	grey	7	0.1834	0.9881	1.0000	MAL	5	0.2413	0.7453	1.0000	MAL	4	17566
Bavarian	0.0855	0.6154	0.8000	grey	6	0.0687	0.8591	0.5000	grey	5	0.6236	0.9220	1.0000	MAL	4	1414
Beja	0.3101	0.9895	1.0000	MAL	5	0.3038	0.9590	1.0000	MAL	4					1	1935
Belarusian	0.1725	0.9472	0.8000	MAL	6	0.0758	0.6901	0.7500	grey	5	0.3354	0.9669	1.0000	MAL	4	29070
Bengali					0					0					0	49
Bhojpuri	0.0665	0.2960	0.3333	grey	4	0.1347	0.4074	0.6667	MAL	4					0	560
Bokota	-0.1584	0.6133	0.3333	anti-MAL	4	-0.1898	0.6276	0.0000	anti-MAL	3					1	512
Bororo	0.1082	0.7821	0.8333	MAL	7	0.2074	0.9454	1.0000	MAL	4	0.1233	0.9030	0.8000	MAL	6	24757
Brahui					1					0					0	103
Breton	0.0978	0.9375	0.6667	grey	4			1.0000		2	0.1797	0.9782	1.0000	MAL	3	991
Bulgarian	0.1624	0.9196	0.8000	MAL	6	0.1641	0.8562	0.6667	MAL	4	0.3524	0.9729	1.0000	MAL	4	16398
Buryat	0.1348	0.8791	0.7500	MAL	5	0.1439	0.8453	0.6667	MAL	4					1	1297
Cantonese	-0.0944	0.2633	0.4000	grey	6	-0.2196	0.9758	0.0000	anti-MAL	5			1.0000		2	1930
Cappadocian	0.1380	0.4098	0.6667	MAL	4	0.0385	0.0753	0.5000	grey	3			1.0000		2	622
Catalan	0.2598	0.9856	1.0000	MAL	7	0.2667	0.9048	1.0000	MAL	5	0.4107	0.9550	1.0000	MAL	6	40748
Cebuano			1.0000		2					0					1	180
Central_Kurdish					0					0					0	121
Chinese	0.0110	0.0105	0.6667	grey	7	-0.1061	0.7577	0.3333	anti-MAL	7	0.7035	0.9067	1.0000	MAL	3	19444
Chintang	0.1797	0.9517	0.6667	MAL	4	0.1856	0.9989	1.0000	MAL	4					1	2783
Chukchi	-0.0890	0.7720	0.0000	grey	5	-0.0159	0.0738	0.6667	grey	4			1.0000		2	920
Classical_Armenian	-0.0335	0.0777	0.2000	grey	6	-0.0924	0.4551	0.2500	grey	5	0.0475	0.2966	0.6667	grey	4	13304
Classical_Chinese	0.0416	0.5228	0.6000	grey	6	0.0558	0.8172	0.7500	grey	5	-0.2036	0.6145	0.0000	anti-MAL	3	104561
Coptic	-0.1510	0.7342	0.4286	anti-MAL	8	-0.5232	0.7894	0.2500	anti-MAL	5	0.0314	0.1433	0.4000	grey	6	10404
Croatian	0.2512	0.9587	1.0000	MAL	6	0.0904	0.3410	0.5000	grey	5	0.3360	0.9853	1.0000	MAL	4	16860
Czech	0.2781	0.9737	1.0000	MAL	8	0.1805	0.4407	0.5000	MAL	7	0.4014	0.9055	0.8000	MAL	6	376361
Danish	0.1535	0.7805	0.6667	MAL	7	0.2253	0.7414	0.3333	MAL	4	0.3325	0.9410	1.0000	MAL	5	10094
Dutch	0.1007	0.5544	0.8333	MAL	7	0.1630	0.9339	1.0000	MAL	6	0.4716	0.9586	1.0000	MAL	6	43721
Egyptian	-0.2046	0.8601	0.4000	anti-MAL	6			1.0000		2	-0.2235	0.9318	0.2500	anti-MAL	5	5733
English	0.1568	0.8518	0.8571	MAL	8	-0.1199	0.6761	0.5000	anti-MAL	5	0.3097	0.8815	1.0000	MAL	5	79984
Erzya	-0.0099	0.1221	0.5000	grey	5	-0.0216	0.8922	0.0000	grey	4	0.1202	0.5634	0.5000	MAL	3	3180
Esperanto	0.2543	0.3634	0.5000	MAL	3			0.0000		2			1.0000		2	287
Estonian	0.2126	0.9572	1.0000	MAL	7	0.1676	0.7105	0.8000	MAL	6	0.4405	0.9484	1.0000	MAL	6	55951
Faroese	-0.0615	0.3662	0.2000	grey	6	-0.0003	0.0000	0.6667	grey	4	0.0684	0.4926	0.7500	grey	5	5587
Finnish	0.1733	0.7463	0.8333	MAL	7	0.1292	0.8145	0.7500	MAL	5	0.4176	0.9744	1.0000	MAL	5	55108
French	0.2604	0.9969	1.0000	MAL	8	0.0390	0.4169	0.6000	grey	6	0.2831	0.9048	1.0000	MAL	5	50437
Frisian_Dutch	0.2927	0.8624	1.0000	MAL	4	-0.0592	0.2450	0.6667	grey	4	0.4263	0.8647	0.5000	MAL	3	373
Galician	0.4098	0.9728	0.8889	MAL	10	0.1633	0.7414	0.5000	MAL	5	0.5339	0.9961	1.0000	MAL	7	14687
Georgian	0.1030	0.8338	0.8000	MAL	6	-0.0589	0.7433	0.2500	grey	5	0.3829	0.9816	1.0000	MAL	4	7158
German	0.1856	0.8908	0.8750	MAL	9	0.1835	0.9458	0.8571	MAL	8	0.4934	0.9556	0.8571	MAL	8	285903
Gheg	0.0789	0.4669	0.6000	grey	6	-0.0461	0.6042	0.3333	grey	4	0.1711	0.4761	0.5000	MAL	3	2476
Gorontalo					0					0					0	31
Gothic	-0.1492	0.7953	0.2000	anti-MAL	6	-0.1991	0.6720	0.0000	anti-MAL	5	-0.1335	0.4609	0.3333	anti-MAL	4	11456
Greek	0.1985	0.9065	0.6000	MAL	6	0.0902	0.3656	0.6667	grey	4	0.2774	0.9100	1.0000	MAL	4	11359
Guajajara	0.0542	0.9555	0.6667	grey	4			1.0000		2	0.1876	0.9981	1.0000	MAL	3	963
Guarani					0					0					0	38
Gujarati			1.0000		2			1.0000		2					0	198
Gwichin					1					1					0	173
Haitian_Creole	0.1888	0.8976	0.8000	MAL	6	-0.2475	0.9724	0.0000	anti-MAL	4	0.2689	0.9540	1.0000	MAL	4	10278
Hausa	0.0139	0.0777	0.6000	grey	6	-0.2450	0.9744	0.0000	anti-MAL	4	0.2510	0.9314	1.0000	MAL	3	6727
Hebrew	0.1956	0.9745	0.8333	MAL	7	0.1802	0.9337	1.0000	MAL	4	0.3246	0.9559	1.0000	MAL	5	31621
Highland_Puebla_Nahuatl	0.2095	0.9814	1.0000	MAL	4	0.0780	0.8863	1.0000	grey	3			1.0000		2	1489
Hindi	0.1100	0.3129	0.5714	MAL	8	0.0330	0.4323	0.4286	grey	8					1	34524
Hittite	0.2159	0.9899	1.0000	MAL	3	0.3195	0.9006	1.0000	MAL	3					0	202
Hungarian	0.1484	0.9596	0.8333	MAL	7	0.1519	0.7351	0.5000	MAL	5	0.2822	0.9992	1.0000	MAL	3	3600
Icelandic	-0.0019	0.0004	0.4000	grey	11	-0.2354	0.5630	0.1667	anti-MAL	7	0.1168	0.3325	0.5556	MAL	10	144589
Ika	0.1308	0.9722	1.0000	MAL	4	0.1279	0.6386	0.5000	MAL	3					1	696
Indonesian	-0.0277	0.0899	0.5000	grey	7	-0.0599	0.6602	0.3333	grey	4	-0.0449	0.0325	0.5000	grey	5	16810
Irish	0.0093	0.0192	0.5000	grey	7			0.0000		2	0.1686	0.8322	0.8333	MAL	7	11732
Italian	0.1556	0.8471	0.8333	MAL	7	0.0173	0.1184	0.4000	grey	6	0.1810	0.7675	0.7500	MAL	5	72641
Japanese	0.0004	0.0000	0.6250	grey	9	-0.0433	0.0752	0.5000	grey	9	0.0151	0.8668	1.0000	grey	3	111044
Javanese	0.1343	0.7450	0.7500	MAL	5	-0.0130	0.1076	0.5000	grey	3	0.2075	0.9127	1.0000	MAL	3	1822
Kaapor					0					0					0	82
Kadiweu					0					0					0	45
Kangri	0.0725	0.7620	0.5000	grey	3	0.0470	0.8214	0.5000	grey	3					0	290
Karelian	0.3951	0.9930	1.0000	MAL	3			1.0000		2			1.0000		2	363
Karo	0.1546	0.9023	1.0000	MAL	3			1.0000		2					1	416
Kazakh	0.0634	0.9026	0.6667	grey	4	0.0784	0.9862	1.0000	grey	4					0	1485
Khoekhoe	-0.0083	0.0903	0.4000	grey	6	0.0290	0.0863	0.2500	grey	5			0.0000		2	3415
Kiche	-0.0197	0.0588	0.3333	grey	4			0.0000		2	0.0838	0.2863	0.5000	grey	3	1502
Komi_Permyak			0.0000		2					0					1	176
Komi_Zyrian	-0.0096	0.1149	0.2500	grey	5	-0.0109	0.0428	0.3333	grey	4	0.2378	0.9998	1.0000	MAL	3	1472
Korean	0.1893	0.9288	1.0000	MAL	7	0.1945	0.8889	1.0000	MAL	7			0.0000		2	67631
Kyrgyz	0.2039	0.6006	0.6000	MAL	6	0.2162	0.5953	0.6000	MAL	6					1	3853
Latgalian					0					0					0	29
Latin	-0.1554	0.6260	0.3846	anti-MAL	14	-0.1843	0.6267	0.3750	anti-MAL	9	0.0201	0.0276	0.4286	grey	8	131914
Latvian	0.1719	0.6501	0.6667	MAL	7	-0.0163	0.1107	0.5000	grey	5	0.2987	0.9858	1.0000	MAL	4	44359
Ligurian	0.2928	0.7902	0.6000	MAL	6	-0.0454	0.0343	0.6667	grey	4	0.3282	0.7716	0.5000	MAL	3	723
Lithuanian	0.1416	0.8105	0.8000	MAL	6	-0.0767	0.7284	0.3333	grey	4	0.3575	0.9939	1.0000	MAL	3	9422
Livvi			1.0000		2					1			1.0000		2	214
