language	side	a	b	c	r2	n_points	n_pairs	coverage	n_failed
Abaza	any	2.1994	0.1883	0.0986	0.2234	5	429	1.000	0
Abkhaz	any	1.7182	0.2406	0.0549	0.9164	10	9341	1.000	0
Afrikaans	any	7.9773	-0.1932	0.0540	0.8271	10	10031	1.000	0
Akkadian	any	3.8375	0.0143	0.0175	0.1534	10	7289	1.000	0
Akuntsu	any	1.1988	-0.1184	-0.1131	0.6317	6	627	1.000	0
Albanian	any	4.0799	-0.6451	-0.1784	0.5412	9	1406	1.000	0
Alemannic	any	4.4094	-0.4370	-0.1083	0.6290	11	4620	1.000	0
Amharic	any	1.9818	0.0986	0.0510	0.7016	8	4558	1.000	0
Ancient_Greek	any	3.0585	0.1350	0.0462	0.3810	12	49481	1.000	0
Ancient_Hebrew	any	3.8768	0.4008	0.0951	0.7882	11	35194	1.000	0
Apurina	any	1.4437	-0.0634	-0.0483	0.1040	6	614	1.000	0
Arabic	any	8.4892	-0.3427	-0.0536	0.5950	17	22946	1.000	0
Armenian	any	4.6131	-0.2662	-0.0467	0.8636	11	22597	1.000	0
Assamese	any	3.0142	0.3243	0.1475	0.7218	8	454	1.000	0
Assyrian	any	2.5428	-0.1226	0.0104	0.3389	5	115	1.000	0
Azerbaijani	any	1.4548	0.0139	-0.0117	0.1869	6	473	1.000	0
Bambara	any	3.6988	0.4270	0.1406	0.4809	8	5121	1.000	0
Basque	any	2.9072	-0.1728	-0.0281	0.9192	9	28983	1.000	0
Bavarian	any	3.3363	-0.4903	-0.1141	0.8352	10	3936	1.000	0
Beja	any	5.3193	-0.0639	0.0501	0.8751	8	5069	1.000	0
Belarusian	any	3.9806	-0.2796	-0.0395	0.8100	11	31036	1.000	0
Bengali	any	1.4826	0.2835	0.1202	0.1386	7	154	1.000	0
Bhojpuri	any	4.1150	-0.0665	0.0292	0.6130	13	1972	1.000	0
Bokota	any	1.4586	-0.4112	-0.1592	0.5684	9	1298	1.000	0
Bororo	any	2.3737	-0.0639	0.0128	0.6963	11	51832	1.000	0
Brahui	any	3.0453	-0.3159	-0.0502	0.1910	8	377	1.000	0
Breton	any	4.5867	-0.1593	0.0910	0.9573	7	1659	1.000	0
Bulgarian	any	4.3727	-0.0837	0.0442	0.7782	8	29074	1.000	0
Buryat	any	2.8711	0.0327	0.0354	0.3292	9	3832	1.000	0
Cantonese	any	3.2566	-0.3254	-0.0633	0.6598	12	6540	1.000	0
Cappadocian	any	3.3608	0.0669	0.0671	0.6048	9	1910	1.000	0
Catalan	any	8.5926	-0.6726	-0.1212	0.8645	9	19111	1.000	0
Cebuano	any	2.0752	-0.0066	0.0390	0.2932	7	554	1.000	0
Central_Kurdish	any	1.2409	0.4492	0.1058	0.6622	7	418	1.000	0
Chinese	any	4.5415	-0.2163	-0.0513	0.8637	11	30320	1.000	0
Chintang	any	1.7468	-0.0236	0.0100	0.4258	8	7448	1.000	0
Chukchi	any	1.4104	-0.0194	-0.0144	0.2297	11	3156	1.000	0
Classical_Armenian	any	3.6413	0.1118	0.0158	0.5229	11	44040	1.000	0
Classical_Chinese	any	1.9135	0.1042	0.0694	0.8738	7	50463	1.000	0
Coptic	any	4.2729	0.1912	0.0388	0.6213	12	21594	1.000	0
Croatian	any	5.6521	-0.5229	-0.0868	0.9606	10	22418	1.000	0
Czech	any	5.0075	-0.2035	0.0050	0.7748	10	34817	1.000	0
Danish	any	5.2834	-0.1473	0.0323	0.8549	11	28720	1.000	0
Dutch	any	4.3363	-0.2888	-0.0601	0.6249	10	23989	1.000	0
Egyptian	any	3.1000	0.5591	0.1652	0.8253	8	14787	1.000	0
English	any	4.8274	-0.5117	-0.1265	0.7661	10	24419	1.000	0
Erzya	any	2.0130	0.0298	-0.0225	0.5660	8	9679	1.000	0
Esperanto	any	6.7683	-0.7064	-0.1717	0.3224	9	927	1.000	0
Estonian	any	3.9065	-0.2149	0.0027	0.8148	12	31804	1.000	0
Faroese	any	3.3370	0.5056	0.0969	0.9218	10	16271	1.000	0
Finnish	any	3.0742	-0.3598	-0.0961	0.8208	9	34707	1.000	0
French	any	6.2447	-0.3814	-0.0494	0.9348	11	20564	1.000	0
Frisian_Dutch	any	3.1287	-0.1488	0.0523	0.9710	7	1009	1.000	0
Galician	any	8.3121	-0.1830	0.0307	0.9258	12	21962	1.000	0
Georgian	any	4.3022	-0.1621	0.0101	0.8602	11	25209	1.000	0
German	any	4.8157	-0.4186	-0.0687	0.8325	10	25336	1.000	0
