language	gupos	rel1	rel2	dupos	n	n_right	sum_delta	sum_abs_delta
Abaza	ADJ	conj	coord	ADJ	3	3	3	3
Abaza	ADJ	conj	coord	AUX	1	1	4	4
Abaza	ADJ	mod		ADV	1	0	-1	1
Abaza	ADJ	mod		NOUN	1	0	-1	1
Abaza	ADJ	udep		NOUN	1	1	1	1
Abaza	ADP	comp	obj	NOUN	7	0	-16	16
Abaza	ADP	comp	obj	NUM	1	0	-3	3
Abaza	ADP	comp	obj	PRON	2	0	-2	2
Abaza	ADV	conj	coord	ADV	2	2	3	3
Abaza	ADV	mod		NOUN	1	0	-1	1
Abaza	ADV	parataxis		ADJ	1	1	2	2
Abaza	ADV	udep		ADV	1	0	-1	1
Abaza	ADV	unk		ADV	3	3	6	6
Abaza	AUX	comp	pred	NOUN	1	0	-1	1
Abaza	AUX	comp	pred	PRON	1	0	-1	1
Abaza	AUX	comp	pred	VERB	1	0	-1	1
Abaza	AUX	conj	coord	VERB	2	2	8	8
Abaza	AUX	parataxis		VERB	1	1	2	2
Abaza	AUX	subj		VERB	2	0	-4	4
Abaza	AUX	unk		VERB	1	0	-1	1
Abaza	NOUN	conj	coord	AUX	1	1	4	4
Abaza	NOUN	conj	coord	NOUN	2	2	2	2
Abaza	NOUN	det		DET	6	1	-7	9
Abaza	NOUN	discourse		NOUN	2	0	-2	2
Abaza	NOUN	flat		NOUN	2	2	2	2
Abaza	NOUN	mod		ADJ	10	7	4	10
Abaza	NOUN	mod		ADV	1	0	-1	1
Abaza	NOUN	mod		DET	1	0	-1	1
Abaza	NOUN	mod		NOUN	7	0	-9	9
Abaza	NOUN	mod		NUM	8	4	-2	10
Abaza	NOUN	mod		PRON	6	0	-7	7
Abaza	NOUN	mod		VERB	9	4	2	12
Abaza	NOUN	parataxis		VERB	1	1	3	3
Abaza	NOUN	reparandum		NOUN	4	0	-10	10
Abaza	NOUN	reparandum		PRON	2	0	-2	2
Abaza	NOUN	unk		NOUN	2	2	7	7
Abaza	NUM	flat		NUM	10	10	10	10
Abaza	NUM	udep		ADP	1	0	-1	1
Abaza	PART	comp	obj	VERB	1	0	-3	3
Abaza	PRON	conj	coord	NOUN	1	1	1	1
Abaza	PRON	conj	coord	PRON	1	1	1	1
Abaza	PRON	det		DET	1	1	1	1
Abaza	PRON	mod		VERB	3	3	3	3
Abaza	SCONJ	comp	obj	VERB	7	0	-7	7
Abaza	SCONJ	conj	coord	SCONJ	1	1	3	3
Abaza	SCONJ	mod		ADV	1	0	-8	8
Abaza	VERB	cc		CCONJ	4	0	-21	21
Abaza	VERB	comp	obj	NOUN	51	5	-72	90
Abaza	VERB	comp	obj	NUM	1	0	-1	1
Abaza	VERB	comp	obj	PRON	16	1	-31	33
Abaza	VERB	comp	obj	SCONJ	1	0	-1	1
Abaza	VERB	comp	obj	VERB	16	7	-6	48
Abaza	VERB	comp	obl	NOUN	10	0	-13	13
Abaza	VERB	comp	obl	PRON	4	1	-3	5
Abaza	VERB	comp	obl	VERB	2	0	-2	2
Abaza	VERB	comp	pred	ADJ	6	1	-6	10
Abaza	VERB	conj	coord	AUX	1	1	2	2
Abaza	VERB	conj	coord	PART	1	1	4	4
Abaza	VERB	conj	coord	VERB	61	61	164	164
Abaza	VERB	discourse		PART	7	1	-13	15
Abaza	VERB	dislocated		NOUN	4	1	-6	8
Abaza	VERB	dislocated		VERB	1	0	-1	1
Abaza	VERB	mod		ADJ	2	0	-5	5
Abaza	VERB	mod		ADV	32	5	-46	56
Abaza	VERB	mod		SCONJ	5	0	-12	12
Abaza	VERB	mod		VERB	42	5	-91	109
Abaza	VERB	parataxis		VERB	6	6	6	6
Abaza	VERB	reparandum		VERB	3	0	-7	7
Abaza	VERB	subj		DET	1	0	-1	1
Abaza	VERB	subj		NOUN	42	4	-68	78
Abaza	VERB	subj		PRON	34	2	-63	67
Abaza	VERB	subj		VERB	7	4	2	16
Abaza	VERB	udep		ADP	9	1	-12	18
Abaza	VERB	udep		ADV	1	0	-1	1
Abaza	VERB	udep		NOUN	37	5	-55	69
Abaza	VERB	udep		PRON	13	0	-21	21
Abaza	VERB	udep		PROPN	1	0	-1	1
Abaza	VERB	udep		VERB	1	0	-1	1
Abaza	VERB	unk		VERB	6	6	16	16
Abaza	VERB	vocative		NOUN	1	0	-3	3
Abaza	__0__	root		ADJ	1	1	1	1
Abaza	__0__	root		ADP	1	1	2	2
Abaza	__0__	root		AUX	1	1	4	4
Abaza	__0__	root		NOUN	2	2	4	4
Abaza	__0__	root		VERB	93	93	402	402
Abkhaz	ADJ	mod		ADV	1	0	-2	2
Abkhaz	ADJ	mod		NOUN	6	0	-6	6
Abkhaz	ADP	comp	obj	ADV	14	0	-14	14
Abkhaz	ADP	comp	obj	NOUN	122	0	-132	132
Abkhaz	ADP	comp	obj	NUM	1	0	-1	1
Abkhaz	ADP	comp	obj	PRON	66	0	-67	67
Abkhaz	ADP	comp	obj	PROPN	14	0	-15	15
Abkhaz	ADP	comp	obj	VERB	74	0	-88	88
Abkhaz	ADP	comp	pred	PRON	1	0	-1	1
Abkhaz	ADP	mod		ADV	7	0	-20	20
Abkhaz	ADP	mod		PRON	5	0	-5	5
Abkhaz	ADP	mod		PROPN	2	0	-3	3
Abkhaz	ADP	punct		PUNCT	20	3	-50	60
Abkhaz	ADP	subj		NOUN	16	0	-41	41
Abkhaz	ADP	subj		PRON	2	0	-5	5
Abkhaz	ADP	subj		PROPN	2	0	-4	4
Abkhaz	ADP	subj		VERB	4	1	-4	8
Abkhaz	ADV	comp	obj	NOUN	2	0	-2	2
Abkhaz	ADV	comp	obl	PRON	1	0	-1	1
Abkhaz	ADV	conj	coord	ADV	2	2	4	4
Abkhaz	ADV	flat		ADV	3	3	3	3
Abkhaz	ADV	mod		ADJ	1	0	-1	1
Abkhaz	ADV	mod		ADV	11	4	-5	13
Abkhaz	ADV	mod		PROPN	1	0	-1	1
Abkhaz	ADV	parataxis		VERB	1	1	2	2
Abkhaz	ADV	punct		PUNCT	75	34	5	93
Abkhaz	ADV	subj		NOUN	3	0	-3	3
Abkhaz	ADV	udep		ADP	1	1	1	1
Abkhaz	ADV	vocative		NOUN	1	1	2	2
Abkhaz	AUX	cc		CCONJ	3	0	-17	17
Abkhaz	AUX	comp	aux	PART	1	0	-1	1
Abkhaz	AUX	comp	aux	VERB	26	0	-26	26
Abkhaz	AUX	comp	pred	ADP	4	0	-4	4
Abkhaz	AUX	comp	pred	ADV	19	0	-19	19
Abkhaz	AUX	comp	pred	NOUN	41	0	-53	53
Abkhaz	AUX	comp	pred	NUM	3	0	-3	3
Abkhaz	AUX	comp	pred	PART	1	0	-1	1
Abkhaz	AUX	comp	pred	PRON	29	0	-29	29
Abkhaz	AUX	comp	pred	PROPN	6	0	-6	6
Abkhaz	AUX	comp	pred	VERB	22	0	-23	23
Abkhaz	AUX	conj	coord	AUX	2	2	9	9
Abkhaz	AUX	conj	coord	VERB	7	7	38	38
Abkhaz	AUX	discourse		INTJ	1	0	-3	3
Abkhaz	AUX	mod		ADJ	3	0	-3	3
Abkhaz	AUX	mod		ADP	3	0	-10	10
Abkhaz	AUX	mod		ADV	19	1	-57	59
Abkhaz	AUX	mod		VERB	3	3	7	7
Abkhaz	AUX	parataxis		AUX	1	1	5	5
Abkhaz	AUX	parataxis		VERB	5	4	18	30
Abkhaz	AUX	punct		PUNCT	170	103	-26	510
Abkhaz	AUX	subj		NOUN	14	1	-38	42
Abkhaz	AUX	subj		PRON	20	0	-63	63
Abkhaz	AUX	subj		PROPN	3	0	-11	11
Abkhaz	AUX	subj		VERB	67	45	34	140
Abkhaz	AUX	vocative		PROPN	1	0	-4	4
Abkhaz	CCONJ	punct		PUNCT	2	1	0	2
Abkhaz	INTJ	conj	coord	INTJ	1	1	2	2
Abkhaz	INTJ	discourse		INTJ	1	0	-1	1
Abkhaz	INTJ	punct		PUNCT	8	5	3	11
Abkhaz	INTJ	vocative		PROPN	1	1	2	2
Abkhaz	NOUN	comp	obj	NOUN	1	0	-1	1
Abkhaz	NOUN	comp	obj	VERB	1	1	2	2
Abkhaz	NOUN	comp	obl	NOUN	2	0	-6	6
Abkhaz	NOUN	compound		ADV	1	0	-1	1
Abkhaz	NOUN	compound		NOUN	16	2	-12	16
Abkhaz	NOUN	conj	appos	NOUN	6	6	8	8
Abkhaz	NOUN	conj	appos	PRON	1	1	2	2
Abkhaz	NOUN	conj	appos	PROPN	12	12	17	17
Abkhaz	NOUN	conj	coord	NOUN	51	51	91	91
Abkhaz	NOUN	conj	coord	PRON	10	10	10	10
Abkhaz	NOUN	conj	coord	PROPN	3	3	6	6
Abkhaz	NOUN	det		ADP	1	0	-1	1
Abkhaz	NOUN	det		PRON	66	18	-28	68
Abkhaz	NOUN	flat		PROPN	1	1	1	1
Abkhaz	NOUN	mod		ADJ	140	89	38	142
Abkhaz	NOUN	mod		ADV	24	10	-8	28
Abkhaz	NOUN	mod		AUX	2	0	-4	4
Abkhaz	NOUN	mod		NOUN	148	3	-159	177
Abkhaz	NOUN	mod		NUM	31	2	-28	32
Abkhaz	NOUN	mod		PART	1	1	4	4
Abkhaz	NOUN	mod		PRON	21	0	-21	21
