measure	language	value	n_scope	n_hit	ci_low	ci_high
adist:cc	Abkhaz	3.6	85			
adist:cc	Akkadian	2.3137	102			
adist:cc	Albanian	2.4067	150			
adist:cc	Alemannic	2.5429	35			
adist:cc	Amharic	1.7907	86			
adist:cc	Bambara	1.5538	65			
adist:cc	Bavarian	2.258	376			
adist:cc	Beja	1.3333	339			
adist:cc	Bhojpuri	3.9333	30			
adist:cc	Breton	1.6165	206			
adist:cc	Buryat	2.1772	79			
adist:cc	Cantonese	2.3924	79			
adist:cc	Cappadocian	2.0141	213			
adist:cc	Chinese	2.9522	272			
adist:cc	Chintang	2.0914	361			
adist:cc	Chukchi	2.1138	123			
adist:cc	Czech	2.4764	212			
adist:cc	English	2.2799	1654			
adist:cc	Esperanto	1.6993	153			
adist:cc	Faroese	1.6027	297			
adist:cc	Finnish	1.9282	599			
adist:cc	French	2.8523	149			
adist:cc	Frisian_Dutch	2.1963	107			
adist:cc	Gheg	2.4499	1047			
adist:cc	Greek	1.9122	1048			
adist:cc	Guajajara	2.5859	99			
adist:cc	Gujarati	3.1346	52			
adist:cc	Haitian_Creole	1.9623	53			
adist:cc	Hausa	1.4728	755			
adist:cc	Hebrew	1.7968	625			
adist:cc	Highland_Puebla_Nahuatl	2.0328	458			
adist:cc	Hittite	4.3218	87			
adist:cc	Ika	4.5349	43			
adist:cc	Irish	1.5829	199			
adist:cc	Italian	2.1758	273			
adist:cc	Javanese	1.5325	308			
adist:cc	Karelian	1.0577	156			
adist:cc	Kazakh	3.64	200			
adist:cc	Kiche	1.6341	41			
adist:cc	Komi_Permyak	2.3488	43			
adist:cc	Komi_Zyrian	2.6846	447			
adist:cc	Korean	5.619	336			
adist:cc	Ligurian	3.1523	243			
adist:cc	Lithuanian	2.2905	296			
adist:cc	Livvi	1.0845	71			
adist:cc	Macedonian	1.75	84			
adist:cc	Malayalam	1.5484	93			
adist:cc	Marathi	3.7077	65			
adist:cc	Middle_Armenian	3.4032	124			
adist:cc	Middle_French	3.6109	442			
adist:cc	Moksha	2.0062	161			
adist:cc	Nepali	6.4186	43			
adist:cc	Northern_Kurdish	3.0192	364			
adist:cc	Northwest_Gbaya	2.6681	235			
adist:cc	Odia	2.1847	157			
adist:cc	Old_French	3.0855	772			
adist:cc	Old_Georgian	3.1143	595			
adist:cc	Ottoman_Turkish	3.4488	254			
adist:cc	Pashto	4.0686	277			
adist:cc	Phrygian	1.9915	117			
adist:cc	Polish	2.0754	570			
adist:cc	Punjabi	2.956	91			
adist:cc	Romanian	2.1195	159			
adist:cc	Ruuli	1.5302	149			
adist:cc	Sanskrit	2.2941	34			
adist:cc	Sicilian	2.7656	418			
adist:cc	Skolt_Sami	2.2286	175			
adist:cc	Spanish	2.322	410			
adist:cc	Swedish	1.8232	543			
adist:cc	Tamil	1.6204	108			
adist:cc	Tatar	2.8246	57			
adist:cc	Turkish	3.6708	723			
adist:cc	Upper_Sorbian	1.9799	448			
adist:cc	Uzbek	3.9064	235			
adist:cc	Veps	1.7705	61			
adist:cc	Vietnamese	3.1915	47			
adist:cc	Wolof	2.2187	1367			
adist:cc	Xibe	2.9245	106			
adist:cc	Yakut	1.4444	36			
adist:cc	Yoruba	1.5	350			
adist:comp	Abaza	1.8516	128			
adist:comp	Abkhaz	1.5756	2104			
adist:comp	Akkadian	3.124	379			
adist:comp	Akuntsu	1.1814	204			
adist:comp	Albanian	1.5073	1309			
adist:comp	Alemannic	2.7208	419			
adist:comp	Amharic	1.7832	3838			
adist:comp	Apurina	1.3871	155			
adist:comp	Assamese	1.9929	140			
adist:comp	Assyrian	1.3262	141			
adist:comp	Azerbaijani	1.6277	137			
adist:comp	Bambara	1.6501	4273			
adist:comp	Bavarian	3.0125	3755			
adist:comp	Beja	1.7545	3014			
adist:comp	Bengali	1.4468	47			
adist:comp	Bhojpuri	2.5037	1610			
adist:comp	Bokota	1.5716	873			
adist:comp	Brahui	1.797	202			
adist:comp	Breton	1.6263	3008			
adist:comp	Buryat	1.6811	1063			
adist:comp	Cantonese	2.6672	2737			
adist:comp	Cappadocian	1.9499	1097			
adist:comp	Cebuano	1.5421	428			
adist:comp	Central_Kurdish	1.5703	128			
adist:comp	Chinese	2.4252	5503			
adist:comp	Chintang	1.4615	2002			
adist:comp	Chukchi	1.6403	367			
adist:comp	Classical_Chinese	1.6934	137			
adist:comp	Czech	1.9509	1445			
adist:comp	English	1.9793	12476			
adist:comp	Esperanto	2.5223	762			
adist:comp	Faroese	1.4819	2540			
adist:comp	Finnish	1.9187	2768			
adist:comp	French	1.9581	1503			
adist:comp	Frisian_Dutch	2.4405	865			
adist:comp	Gheg	1.5825	5586			
adist:comp	Gorontalo	1.1974	76			
adist:comp	Greek	1.8242	5166			
adist:comp	Guajajara	1.897	1379			
adist:comp	Gujarati	1.6321	473			
adist:comp	Gwichin	1.1497	147			
adist:comp	Haitian_Creole	1.6737	760			
adist:comp	Hausa	1.2855	19995			
adist:comp	Hebrew	1.6188	2361			
adist:comp	Highland_Puebla_Nahuatl	1.7459	964			
adist:comp	Hittite	2.8074	270			
adist:comp	Ika	1.5457	1565			
adist:comp	Irish	1.8573	1331			
adist:comp	Italian	1.6161	2118			
adist:comp	Javanese	1.3117	2140			
adist:comp	Kaapor	1.3902	82			
adist:comp	Kadiweu	1.1176	34			
adist:comp	Kangri	1.4108	723			
adist:comp	Karelian	2.0256	469			
adist:comp	Karo	1.3776	519			
adist:comp	Kazakh	1.4865	1260			
adist:comp	Kiche	1.5795	1453			
adist:comp	Komi_Permyak	1.5188	160			
adist:comp	Komi_Zyrian	1.7825	1430			
adist:comp	Korean	1.7819	4309			
adist:comp	Kyrgyz	1.4744	215			
adist:comp	Latgalian	1.4242	33			
adist:comp	Latvian	1.3939	33			
adist:comp	Ligurian	1.7825	2087			
adist:comp	Lithuanian	2.2719	923			
adist:comp	Livvi	1.6712	222			
adist:comp	Luxembourgish	2.4706	51			
adist:comp	Macedonian	1.3598	453			
adist:comp	Malayalam	1.8386	347			
adist:comp	Marathi	1.3636	869			
adist:comp	Mbya_Guarani	1.6172	290			
adist:comp	Middle_Armenian	1.9532	278			
adist:comp	Middle_French	2.0465	2106			
adist:comp	Moksha	1.599	616			
adist:comp	Munduruku	1.2524	210			
adist:comp	Naga	1.4916	657			
adist:comp	Neapolitan	1.4643	56			
adist:comp	Nenets	1.7356	174			
adist:comp	Nepali	2.3333	105			
adist:comp	Northern_Kurdish	2.4154	2607			
adist:comp	Northwest_Gbaya	1.304	819			
adist:comp	Odia	2.1133	715			
adist:comp	Old_English	1.7073	41			
adist:comp	Old_French	2.4066	4752			
adist:comp	Old_Georgian	2.7482	1239			
adist:comp	Old_Irish	1.4944	178			
adist:comp	Old_Turkish	1.3191	47			
adist:comp	Ottoman_Turkish	2.2999	1307			
adist:comp	Pashto	2.5008	1901			
adist:comp	Paumari	1.63	100			
adist:comp	Pesh	1.3959	1086			
adist:comp	Phrygian	1.6167	407			
adist:comp	Polish	1.7142	5007			
adist:comp	Punjabi	2.3437	1091			
adist:comp	Romanian	1.5046	1627			
adist:comp	Ruuli	1.315	1454			
adist:comp	Sanskrit	1.9105	190			
adist:comp	Shanghainese	1.5966	2013			
adist:comp	Sicilian	1.6894	3281			
adist:comp	Sinhala	1.506	251			
adist:comp	Skolt_Sami	1.6139	474			
adist:comp	South_Levantine_Arabic	1.313	230			
adist:comp	Southern_Kurdish	1.5771	227			
adist:comp	Spanish	1.6858	1967			
adist:comp	Spanish_Sign_Language	1.5267	150			
adist:comp	Swedish	1.7637	3432			
adist:comp	Swedish_Sign_Language	1.5806	186			
adist:comp	Tagalog	1.5079	630			
adist:comp	Tamil	1.7268	2379			
adist:comp	Tatar	1.9697	264			
adist:comp	Teko	1.3383	402			
adist:comp	Telugu	1.5598	736			
adist:comp	Telugu_English	1.4167	72			
adist:comp	Tswana	1.6712	73			
adist:comp	Tupinamba	1.8373	541			
adist:comp	Turkish	1.5402	5454			
adist:comp	Turkish_English	1.7188	64			
adist:comp	Umbrian	1.7138	325			
adist:comp	Upper_Sorbian	2.6348	2147			
adist:comp	Uzbek	1.8806	1733			
adist:comp	Veps	1.6798	228			
adist:comp	Vietnamese	1.6638	461			
adist:comp	Warlpiri	1.6549	113			
adist:comp	Wolof	1.6862	13478			
adist:comp	Xavante	1.8606	409			
adist:comp	Xibe	1.6956	3417			
adist:comp	Yakut	1.4645	183			
adist:comp	Yoruba	1.8408	2399			
adist:comp	Yupik	2.3503	157			
adist:comp	Zazaki	1.4465	318			
adist:det	Abkhaz	1.0267	75			
adist:det	Akkadian	1.2692	182			
adist:det	Albanian	1.0733	532			
