measure	n_langs	mean	sd	bimodality	max_gap	low_pole_n	low_pole_sd	high_pole_n	high_pole_sd
pos:SYM	25	0.4	1.0	0.98	0.11	25	1.0	0	
pos:X	77	1.3	4.9	0.94	0.19	77	4.9	0	
dir:cc	80	9.2	20.9	0.89	0.22	73	8.2	7	15.3
dir:comp:aux	75	61.3	42.4	0.88	0.22	26	10.2	49	12.0
dir:det	90	13.7	23.9	0.83	0.27	82	11.6	8	13.7
dir:comp:obj	125	52.0	37.8	0.76	0.07	58	14.2	67	13.6
dir:comp:pred	68	53.9	38.9	0.76	0.15	27	13.1	41	15.1
dir:comp	130	51.8	35.8	0.74	0.07	57	14.5	73	12.8
pos:PART	111	4.1	4.3	0.74	0.12	111	4.3	0	
pos:DET	123	4.5	4.0	0.72	0.09	123	4.0	0	
pos:INTJ	95	0.7	1.0	0.72	0.12	95	1.0	0	
dist:det	90	-0.9	0.6	0.7	0.11	45	0.2	45	0.7
freq:det	129	6.4	5.6	0.7	0.09	129	5.6	0	
dist:comp	130	0.2	1.2	0.69	0.12	65	0.7	65	0.3
dir:udep	114	46.0	34.0	0.68	0.13	55	16.4	59	14.4
dist:comp:obj	125	0.2	1.2	0.67	0.09	62	0.6	63	0.3
freq:discourse	112	3.6	5.1	0.65	0.14	112	5.1	0	
pos:NUM	122	1.4	1.4	0.63	0.07	122	1.4	0	
dir:subj	122	15.8	18.4	0.62	0.07	117	13.2	5	13.3
freq:vocative	94	0.5	0.5	0.61	0.15	94	0.5	0	
adist:comp	130	1.8	0.4	0.6	0.12	65	0.1	65	0.4
dir:comp:obl	58	51.1	34.3	0.6	0.09	28	17.1	30	18.0
dir:discourse	55	50.9	27.9	0.6	0.06	27	12.2	28	13.6
pos:AUX	123	4.4	3.4	0.6	0.09	123	3.4	0	
pos:PROPN	125	3.8	3.1	0.6	0.07	125	3.1	0	
dist:comp:pred	68	0.4	1.3	0.59	0.06	34	0.7	34	0.5
adist:det	90	1.2	0.2	0.57	0.11	45	0.0	45	0.2
dist:udep	114	-0.7	1.8	0.56	0.05	57	1.2	57	0.6
adist:subj	122	2.6	1.2	0.55	0.07	61	0.3	61	1.3
adist:discourse	55	2.9	1.3	0.54	0.26	27	0.4	28	1.3
dir:mod	123	35.2	23.3	0.53	0.04	88	15.3	35	10.5
pos:SCONJ	117	1.9	1.6	0.53	0.08	117	1.6	0	
adist:cc	80	2.5	1.0	0.52	0.08	40	0.3	40	0.9
adist:mod	123	2.1	0.6	0.52	0.06	61	0.2	62	0.5
freq:subj	132	14.8	6.7	0.5	0.04	132	6.7	0	
pos:ADP	129	6.2	4.7	0.5	0.1	129	4.7	0	
pos:NOUN	133	22.1	6.8	0.5	0.05	133	6.8	0	
adist:udep	114	2.5	0.8	0.49	0.09	57	0.3	57	0.7
freq:cc	122	4.2	3.1	0.49	0.08	122	3.1	0	
pos:VERB	133	17.0	6.0	0.49	0.05	133	6.0	0	
dir:dependent	133	36.9	21.0	0.48	0.04	96	15.6	37	8.4
pos:CCONJ	121	3.0	2.2	0.46	0.05	121	2.2	0	
pos:ADJ	125	4.4	2.9	0.44	0.06	125	2.9	0	
freq:mod	133	27.6	10.1	0.42	0.05	129	9.1	4	3.3
pos:ADV	132	5.8	2.7	0.42	0.08	132	2.7	0	
pos:PRON	133	8.7	4.7	0.42	0.05	133	4.7	0	
dist:mod	123	-0.7	1.0	0.41	0.05	61	0.7	62	0.5
freq:comp	133	32.9	9.6	0.41	0.06	126	8.4	7	3.2
dist:discourse	55	-0.6	2.1	0.37	0.09	27	1.0	28	1.7
dist:subj	122	-2.0	1.6	0.37	0.09	61	1.4	61	0.7
dist:comp:obl	58	-0.2	2.1	0.35	0.08	29	1.6	29	1.0
dist:comp:aux	75	0.6	1.4	0.3	0.15	37	0.9	38	1.0
freq:udep	131	11.5	4.9	0.3	0.06	131	4.9	0	
pos:PUNCT	122	15.4	5.3	0.24	0.07	122	5.3	0	
dist:cc	80	-2.3	1.2	0.23	0.16	40	0.9	40	0.8
