x	y	n_langs	n_lineages	pearson	spearman	lineage_r	quad_min	quad_expected	quad_reading	p_quad	grid_empty	p_grid	coupled	claim	claim_violators	claim_viol_rate	claim_support	boot_kind	boot_survival	surprise
pos:ADJ	pos:NOUN	125	37	0.368	0.409	0.216	21	30.8		0.001	0.04	0.035	False	pos:NOUN >= pos:ADJ		0.0	1.0	grid	0.996	1.0355
freq:comp	freq:vocative	94	32	0.139	0.11	0.172	19	23.5		0.101	0.04	0.2	False	freq:comp >= freq:vocative		0.0	1.0	claim	1.0	1.032
freq:subj	freq:vocative	93	32	0.215	0.293	-0.049	21	22.8		0.686	0.04	0.214	False	freq:subj >= freq:vocative		0.0	1.0	claim	1.0	1.0314
pos:INTJ	pos:VERB	95	32	0.264	0.339	0.32	19	23.2		0.151	0.04	0.224	False	pos:VERB >= pos:INTJ		0.0	1.0	claim	1.0	1.031
pos:NOUN	pos:SCONJ	117	36	-0.317	-0.387	-0.14	18	28.8		0.0	0.04	0.065	False	pos:NOUN >= pos:SCONJ		0.0	0.991	claim	1.0	1.0284
freq:cc	freq:comp	122	34	0.042	0.071	0.21	25	30.5		0.077	0.0	1.0	False	freq:comp >= freq:cc		0.0	1.0	claim	1.0	1.0
pos:INTJ	pos:NOUN	95	32	-0.261	-0.335	-0.31	18	23.2		0.06	0.0	1.0	False	pos:NOUN >= pos:INTJ		0.0	1.0	claim	1.0	1.0
pos:SCONJ	pos:VERB	117	36	-0.137	-0.184	-0.351	23	28.8		0.054	0.0	1.0	False	pos:VERB >= pos:SCONJ		0.0	1.0	claim	1.0	1.0
pos:CCONJ	pos:VERB	121	34	-0.31	-0.372	-0.408	20	29.8		0.0	0.0	1.0	False	pos:VERB >= pos:CCONJ		0.0	0.992	claim	1.0	0.992
pos:NOUN	pos:NUM	122	36	0.112	0.315	0.569	20	30.5		0.001	0.0	1.0	False	pos:NOUN >= pos:NUM		0.0	0.992	claim	1.0	0.992
pos:NUM	pos:VERB	122	36	-0.029	-0.119	-0.003	25	30.5		0.072	0.0	1.0	False	pos:VERB >= pos:NUM		0.0	0.992	claim	1.0	0.992
freq:mod	freq:vocative	94	32	-0.231	-0.229	-0.245	22	23.5		0.671	0.0	1.0	False	freq:mod >= freq:vocative		0.0	0.989	claim	1.0	0.989
pos:ADV	pos:INTJ	95	32	0.438	0.359	0.353	17	23.2		0.018	0.04	0.224	False	pos:ADV >= pos:INTJ		0.0	0.958	claim	1.0	0.989
freq:comp	freq:det	129	37	0.129	0.136	0.051	24	31.8		0.015	0.0	1.0	False	freq:comp >= freq:det		0.0	0.984	claim	1.0	0.984
pos:CCONJ	pos:NOUN	121	34	-0.209	-0.223	-0.23	23	29.8		0.034	0.0	1.0	False	pos:NOUN >= pos:CCONJ		0.0	0.983	claim	1.0	0.983
pos:ADV	pos:VERB	132	37	0.232	0.2	0.04	27	33.0		0.074	0.0	1.0	False	pos:VERB >= pos:ADV		0.0	0.97	claim	1.0	0.97
pos:DET	pos:NOUN	123	37	-0.343	-0.309	-0.219	19	30.2		0.0	0.04	0.066	False	pos:NOUN >= pos:DET		0.0	0.927	claim	1.0	0.9644
pos:ADV	pos:NOUN	132	37	-0.106	-0.079	-0.146	30	33.0		0.378	0.0	1.0	False	pos:NOUN >= pos:ADV		0.0	0.955	claim	1.0	0.955
pos:NOUN	pos:PROPN	125	36	0.261	0.241	0.212	23	30.8		0.007	0.0	1.0	False	pos:NOUN >= pos:PROPN		0.0	0.952	claim	1.0	0.952
freq:udep	freq:vocative	93	32	-0.432	-0.468	-0.287	16	22.8		0.013	0.04	0.214	False	freq:udep >= freq:vocative		0.0	0.914	claim	1.0	0.9454
pos:ADP	pos:NOUN	129	36	-0.178	-0.217	-0.336	25	31.8		0.039	0.0	1.0	False	pos:NOUN >= pos:ADP		0.0	0.938	claim	1.0	0.938
freq:cc	freq:mod	122	34	-0.178	-0.173	-0.312	26	30.5		0.171	0.0	1.0	False	freq:mod >= freq:cc		0.0	0.926	claim	1.0	0.926
freq:discourse	freq:mod	112	35	0.056	0.044	0.079	28	28.0		1.0	0.0	1.0	False	freq:mod >= freq:discourse	Guajajara	0.009	0.973	claim	0.902	0.8934
freq:det	freq:mod	129	37	-0.448	-0.447	-0.531	20	31.8		0.001	0.04	0.033	False	freq:mod >= freq:det	Italian,Luxembourgish	0.016	0.86	grid	1.0	0.8849
freq:comp	freq:discourse	112	35	-0.173	-0.121	-0.022	27	28.0		0.863	0.0	1.0	False	freq:comp >= freq:discourse	Guajajara	0.009	0.955	claim	0.91	0.8825
pos:INTJ	pos:PRON	95	32	0.136	0.238	0.278	20	23.2		0.293	0.0	1.0	False	pos:PRON >= pos:INTJ	Nenets	0.011	0.968	claim	0.864	0.8597
pos:PROPN	pos:VERB	125	36	-0.254	-0.258	-0.11	26	30.8		0.168	0.0	1.0	False	pos:VERB >= pos:PROPN	Faroese	0.008	0.92	claim	0.852	0.8113
freq:comp	freq:udep	131	37	-0.27	-0.244	-0.189	28	32.2		0.211	0.0	1.0	False	freq:comp >= freq:udep	Guajajara,Guarani	0.015	0.962	claim	0.806	0.8097
freq:det	freq:vocative	92	32	0.018	0.043	0.134	20	23.0		0.32	0.0	1.0	False	freq:det >= freq:vocative		0.0	0.804	claim	1.0	0.804
pos:NUM	pos:PRON	122	36	-0.276	-0.233	-0.002	25	30.5		0.069	0.0	1.0	False	pos:PRON >= pos:NUM	Old_Turkish	0.008	0.893	claim	0.868	0.7982
pos:ADV	pos:NUM	122	36	-0.105	0.008	0.127	29	30.5		0.72	0.0	1.0	False	pos:ADV >= pos:NUM	Bhojpuri,Old_Turkish	0.016	0.893	claim	0.772	0.7285
pos:PRON	pos:SCONJ	117	36	0.17	0.304	0.002	22	28.8		0.029	0.0	1.0	False	pos:PRON >= pos:SCONJ	Breton	0.009	0.94	claim	0.692	0.7164
pos:DET	pos:VERB	123	37	-0.326	-0.406	-0.377	20	30.2		0.0	0.0	1.0	False	pos:VERB >= pos:DET	Bavarian,French	0.016	0.862	claim	0.788	0.7133
pos:NOUN	pos:PART	111	35	-0.242	-0.251	-0.252	19	27.2		0.004	0.0	1.0	False	pos:NOUN >= pos:PART	Ika	0.009	0.937	claim	0.686	0.7099
pos:AUX	pos:NOUN	123	36	-0.358	-0.399	-0.121	22	30.2		0.009	0.0	1.0	False	pos:NOUN >= pos:AUX	Ika	0.008	0.927	claim	0.672	0.6934
dir:cc	dir:discourse	38	18	0.288	0.453	0.261	5	9.5		0.007	0.08	0.358	False	dir:discourse >= dir:cc	Beja	0.026	0.842	claim	0.67	0.6558
pos:PART	pos:VERB	111	35	-0.001	0.005	-0.166	27	27.2		1.0	0.0	1.0	False	pos:VERB >= pos:PART	Guajajara,Ika	0.018	0.928	claim	0.596	0.6352
pos:AUX	pos:VERB	123	36	-0.278	-0.35	-0.11	22	30.2		0.008	0.0	1.0	False	pos:VERB >= pos:AUX	Faroese,Ika	0.016	0.902	claim	0.612	0.6293
freq:cc	freq:vocative	89	30	0.08	-0.011	0.362	20	21.8		0.687	0.0	1.0	False	freq:cc >= freq:vocative	Bambara,Shanghainese	0.022	0.809	claim	0.726	0.6286
freq:mod	freq:udep	131	37	0.089	0.15	0.003	29	32.2		0.382	0.0	1.0	False	freq:mod >= freq:udep	Bambara,Guajajara,Munduruku	0.023	0.832	claim	0.646	0.597
pos:ADJ	pos:VERB	125	37	-0.32	-0.42	-0.283	18	30.8		0.0	0.0	1.0	False	pos:VERB >= pos:ADJ	Faroese,Pashto,Polish,Upper_Sorbian	0.032	0.952	claim	0.526	0.5939
freq:cc	freq:subj	121	34	-0.183	-0.211	-0.311	26	29.8		0.252	0.0	1.0	False	freq:subj >= freq:cc	Akkadian,Old_Georgian	0.017	0.851	claim	0.524	0.5379
pos:DET	pos:INTJ	91	31	-0.064	-0.031	-0.017	20	22.2		0.546	0.04	0.252	False	pos:DET >= pos:INTJ	Nenets,Shanghainese,Skolt_Sami	0.033	0.791	claim	0.512	0.5039
dir:comp:obl	dir:subj	57	20	0.214	0.258	0.484	9	13.8		0.029	0.08	0.052	False	dir:comp:obl >= dir:subj	Abkhaz,Amharic	0.035	0.737	claim	0.332	0.3927
pos:NOUN	pos:PRON	133	38	-0.407	-0.43	-0.334	23	32.8		0.005	0.0	1.0	False	pos:NOUN >= pos:PRON	Amharic,Bambara,Gheg,Shanghainese	0.03	0.85	claim	0.238	0.3533
pos:PRON	pos:VERB	133	38	0.052	0.073	-0.006	30	32.8		0.479	0.0	1.0	False	pos:VERB >= pos:PRON	Amharic,Gheg,Ligurian,Yoruba	0.03	0.767	claim	0.282	0.3434
freq:discourse	freq:vocative	84	31	0.24	0.495	0.593	13	21.0		0.0	0.04	0.293	False	freq:discourse >= freq:vocative	Abkhaz,Czech,Sanskrit	0.036	0.548	claim	0.468	0.3345
pos:ADJ	pos:INTJ	89	32	-0.229	-0.345	-0.07	15	21.8		0.003	0.04	0.267	False	pos:ADJ >= pos:INTJ	Bambara,Gheg,Hausa,Wolof	0.045	0.753	claim	0.206	0.3027
freq:cc	freq:udep	122	34	-0.167	-0.124	-0.096	28	30.5		0.481	0.04	0.056	False	freq:udep >= freq:cc	Hausa,Middle_Armenian,Northwest_Gbaya,Skolt_Sami	0.033	0.811	claim	0.0	0.2055
pos:CCONJ	pos:PRON	121	34	0.219	0.248	0.179	24	29.8		0.068	0.04	0.053	False	pos:PRON >= pos:CCONJ	Middle_Armenian,Upper_Sorbian	0.017	0.785	claim	0.0	0.2024
freq:comp	freq:subj	132	38	-0.167	-0.177	-0.318	26	33.0		0.027	0.0	1.0	False	freq:comp >= freq:subj	Kadiweu,Spanish_Sign_Language,Telugu	0.023	0.826	claim	0.0	0.2018
pos:AUX	pos:INTJ	89	30	0.041	0.013	-0.003	20	21.8		0.682	0.0	1.0	False	pos:AUX >= pos:INTJ	Chintang,Highland_Puebla_Nahuatl,Nenets	0.034	0.809	claim	0.0	0.1954
pos:INTJ	pos:PART	82	29	0.086	0.181	0.021	15	20.5		0.031	0.04	0.37	False	pos:PART >= pos:INTJ	Naga,Skolt_Sami,Swedish_Sign_Language	0.037	0.78	claim	0.0	0.1941
dir:comp:obj	dir:comp:pred	68	26	0.873	0.793	0.847	5	17.0		0.0	0.16	0.0	False	dir:comp:obj >= dir:comp:pred	Cantonese,Chinese,Gheg,Italian,Ligurian,Ruuli,Shanghainese,Sicilian	0.147	0.294	grid	1.0	0.16
dir:comp:pred	dist:comp:obj	68	26	0.859	0.798	0.832	6	17.0		0.0	0.16	0.0	False					grid	1.0	0.16
dir:comp:pred	dist:comp:obl	45	17	0.78	0.677	0.835	5	10.8		0.002	0.16	0.0	False					grid	1.0	0.16
